show_id,type,title,release,runtime,episode_count,popularity
s468,Movie,Diary of a Wimpy Kid: The Long Haul,2017-05-19,91,,19.235
s308,TV Show,Wicked Tuna: Outer Banks,2014-08-17,4635,103,6.052
s28,TV Show,Obi-Wan Kenobi,2022-05-26,279,6,820.743
s536,TV Show,Buried Secrets Of The Bible With Albert Lin,2019-03-11,90,2,4.316
s446,TV Show,UFO Europe: The Untold Stories,2012-11-13,,7,3.258
s433,Movie,Marvel Studios' Ant-Man and the Wasp,2018-07-04,119,,68.65
s644,TV Show,Marvel's Runaways,2017-11-21,1650,33,36.669
s820,Movie,Disney Descendants,2015-07-31,112,,81.146
s772,Movie,Camp Rock,2008-06-20,98,,17.415
s1432,Movie,Brave Little Tailor,1938-09-23,9,,7.077
s800,TV Show,Coop & Cami Ask The World (Shorts),2018-10-12,1470,49,9.388
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,2011-08-05,78,,21.345
s507,Movie,Walt & El Grupo,2008-09-08,106,,2.284
s6,Movie,Becoming Cousteau,2021-10-22,94,,4.183
s1170,TV Show,Rocky Mountain Animal Rescue,2018-03-03,,8,0.6
s1404,Movie,Whispers: An Elephant's Tale,2000-10-03,72,,2.942
s1125,TV Show,Phil of the Future,2004-06-18,946,43,9.527
s1250,Movie,The Art of Skiing,1941-11-14,8,,3.707
s998,TV Show,Lab Rats,2012-02-27,,96,30.319
s457,Movie,Lost Temple of the Inca,2020-02-09,0,,2.842
s635,TV Show,America's National Parks,2015-12-06,344,8,2.095
s1067,Movie,Meet the Deedles,1998-03-27,93,,8.383
s1333,Movie,The Santa Clause 3: The Escape Clause,2006-11-01,98,,14.641
s480,TV Show,Animal ER,2016-09-10,560,14,1.289
s1085,Movie,Miracle at Midnight,1998-03-17,90,,2.444
s229,TV Show,Wander Over Yonder,2013-09-13,869,79,11.413
s958,Movie,I'll Be Home for Christmas,1998-11-13,86,,8.764
s377,Movie,Disney Channel Halloween House Party,2020-10-16,23,,3.196
s669,TV Show,One Strange Rock,2018-03-26,470,10,6.671
s534,TV Show,Birth of Europe,2012-04-17,138,3,0.679
s173,Movie,Flicka,2006-10-20,95,,11.533
s1323,Movie,The Princess Diaries,2001-08-03,115,,54.71
s13,Movie,The Pixar Story,2007-08-28,87,,9.58
s537,TV Show,Disney Prop Culture,2020-05-01,263,8,3.091
s376,Movie,Prep & Landing: Naughty vs. Nice,2011-12-05,22,,5.199
s145,Movie,Garfield,2004-06-10,80,,90.753
s886,TV Show,Fantastic Four (Series),1994-09-24,572,26,11.054
s1106,Movie,Noelle,2020-11-20,100,,13.702
s1144,Movie,Pollyanna,1960-05-19,134,,9.532
s1069,Movie,Melody Time,1948-05-27,75,,12.433
s41,Movie,Under the Helmet: The Legacy of Boba Fett,2021-11-12,21,,7.456
s120,TV Show,Dug Days,2021-09-01,50,5,30.242
s475,TV Show,Cosmos: A Spacetime Odyssey,2014-03-09,1800,30,33.791
s227,TV Show,The Incredible Hulk,1977-11-04,5100,85,25.023
s1093,Movie,Motocrossed,2001-02-16,91,,9.542
s1086,Movie,Miracle in Lane 2,2000-05-13,89,,3.891
s588,Movie,Sea Scouts,1939-06-30,8,,2.334
s161,TV Show,Meet Spidey and His Amazing Friends (Shorts),2021-08-06,,61,46.079
s740,Movie,Bambi II,2006-01-26,72,,33.567
s1363,Movie,Three Little Pigs,1933-05-27,8,,11.498
s370,Movie,Ultimate Viking Sword,2019-03-11,44,,1.186
s445,Movie,The Peanuts Movie,2015-11-01,88,,27.593
s2,Movie,Ernest Saves Christmas,1988-11-11,95,,8.186
s549,TV Show,United States Of Animals,2016-04-29,264,12,0.6
s1373,Movie,Tinker Bell and the Great Fairy Rescue,2010-07-29,76,,44.783
s1157,Movie,Recess: School's Out,2001-01-27,82,,17.492
s1132,Movie,Pirates of the Caribbean: At World's End,2007-05-19,169,,208.193
s454,Movie,Hunt for the Abominable Snowman,2011-04-05,45,,1.223
s133,TV Show,America's Funniest Home Videos: Animal Edition,2021-06-11,,20,1.598
s1076,Movie,Mickey's Delayed Date,1947-10-03,7,,4.417
s57,Movie,Rookie of the Year,1993-07-07,103,,12.517
s871,Movie,Dumbo,1941-10-01,64,,64.633
s136,TV Show,Gabby Duran And The Unsittables,2019-10-11,1025,41,8.962
s1427,Movie,Zenon: The Zequel,2001-01-12,100,,6.318
s752,TV Show,Big Hero 6 The Series (Shorts),2017-11-20,,92,52.084
s850,TV Show,Disney's Recess,1997-09-13,1441,131,23.788
s753,Movie,Bizarre Dinosaurs,2009-10-11,48,,2.961
s939,Movie,Herbie Rides Again,1974-02-12,88,,13.486
s1161,Movie,Rescue Dog,1947-03-21,7,,3.0
s1141,Movie,Pluto's Sweater,1949-04-29,7,,3.712
s401,TV Show,Magic of Disney's Animal Kingdom,2020-09-25,288,8,2.135
s707,Movie,Forky Asks a Question: What is a Friend?,2019-11-15,3,,4.774
s915,TV Show,Girl Meets World,2014-06-27,1656,72,30.284
s880,TV Show,Encore!,2019-11-12,660,12,3.727
s1197,Movie,Sleeping Beauty,1959-02-17,75,,73.819
s1445,Movie,Ice Age: Dawn Of The Dinosaurs,2009-06-26,94,,101.665
s1175,Movie,Saludos Amigos,1942-08-24,42,,29.023
s861,Movie,Disneynature Wings of Life,2011-03-16,77,,4.608
s1084,Movie,Miracle,2004-02-06,135,,12.097
s1008,TV Show,LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,2014-05-12,,1,0.6
s1080,Movie,Mickey's Twice Upon a Christmas,2004-11-15,68,,15.025
s1169,Movie,Robin Hood,2010-05-12,140,,50.818
s1388,Movie,Treasure Planet,2002-11-26,95,,49.851
s1107,Movie,Now You See It,2017-01-07,3,,0.6
s1269,Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,143,,121.173
s1387,Movie,Treasure of Matecumbe,1976-07-01,117,,3.786
s422,Movie,Phineas and Ferb The Movie: Candace Against the Universe,2020-08-28,84,,71.692
s986,Movie,Jungle Cat,1959-12-16,69,,3.238
s58,Movie,Thumbelina,1994-03-29,87,,16.587
s106,Movie,Smoky Mountain Park Rangers,2021-08-06,42,,1.522
s1283,Movie,The Great Muppet Caper,1981-06-26,95,,9.622
s63,TV Show,Apollo: Back To The Moon,2019-07-01,,2,1.808
s61,Movie,Lost Cities with Albert Lin: The Great Flood,2021-05-09,45,,1.4
s693,Movie,Incredible! The Story of Dr. Pol,2015-01-10,44,,1.965
s1248,Movie,The Apple Dumpling Gang Rides Again,1979-06-27,88,,5.591
s1381,Movie,Toy Story Toons: Hawaiian Vacation,2011-06-16,6,,15.655
s300,TV Show,The Muppet Show,1976-09-05,4056,156,9.248
s483,Movie,Ice Age: Collision Course,2016-06-23,95,,74.7
s313,TV Show,Elena of Avalor,2016-07-22,,101,36.42
s137,TV Show,What If...?,2021-08-11,312,9,156.601
s729,TV Show,Andi Mack,2017-03-07,1311,57,19.938
s243,TV Show,Liv and Maddie,2013-07-19,1920,80,33.519
s1182,Movie,Sea of Hope: America's Underwater Treasures,2017-01-15,60,,2.568
s580,Movie,How To Play Football,1944-09-15,7,,2.606
s1429,Movie,Zootopia,2016-02-11,109,,116.762
s1342,Movie,The Strongest Man in the World,1975-02-06,92,,5.048
s1430,Movie,Bedknobs and Broomsticks,1971-10-07,117,,11.276
s141,Movie,Mrs. Doubtfire,1993-11-24,125,,23.936
s395,TV Show,The Right Stuff,2020-10-09,376,8,18.726
s738,Movie,Babes in Toyland,1986-12-19,140,,9.966
s636,TV Show,Continent 7: Antarctica,2016-11-15,300,6,1.457
s1449,Movie,Bend It Like Beckham,2002-04-11,112,,12.68
s1371,Movie,Tin Toy,1988-08-01,5,,10.591
s453,TV Show,Fearless Adventures with Jack Randall,2018-12-10,,6,0.6
s298,Movie,Flora & Ulysses,2021-02-19,91,,43.932
s583,Movie,On Ice,1935-09-28,8,,8.669
s1310,Movie,The Muppet Movie,1979-05-31,97,,12.865
s716,Movie,A Kid in King Arthur's Court,1995-08-11,89,,9.963
s1416,Movie,World's Greatest Dogs,2015-09-01,43,,1.589
s655,Movie,Cars Toon: Unidentified Flying Mater,2009-11-20,4,,8.359
s158,Movie,What the Shark?,2020-07-04,44,,1.205
s557,Movie,Jane Goodall: The Hope,2020-04-22,88,,2.729
s1072,TV Show,Mickey Mouse Club (1955-59),1955-10-03,3030,101,5.46
s447,TV Show,Animal Showdown,2018-09-05,,6,0.6
s631,Movie,Lamp Life,2020-01-31,7,,28.003
s1024,Movie,Lonesome Ghosts,1937-12-24,9,,6.785
s1299,Movie,The Little Mermaid II:  Return to the Sea,2000-01-23,75,,13.049
s318,Movie,Ferdinand,2017-12-09,108,,62.247
s1319,Movie,The Plausible Impossible (Disneyland: 1954-58),1956-10-01,60,,0.871
s975,Movie,Jane,2017-12-28,90,,7.217
s1305,Movie,The Love Bug (1969),1968-12-23,107,,10.704
s1219,Movie,Star Wars: The Phantom Menace (Episode I),1999-05-19,136,,52.243
s586,Movie,Penguins: Life on the Edge,2020-04-03,78,,3.929
s546,TV Show,Prairie Dog Manor,2019-10-18,264,12,1.274
s1307,Movie,The Million Dollar Duck,1971-06-30,89,,6.12
s1180,Movie,Saving Mr. Banks,2013-11-29,125,,13.547
s12,Movie,Puppy for Hanukkah,2020-01-01,0,,0.6
s652,Movie,Cars Toon: Spinning,2013-03-22,2,,4.774
s927,Movie,Halloweentown,1998-11-10,84,,11.451
s756,Movie,Bolt,2008-11-21,98,,72.76
s520,TV Show,The Evermoor Chronicles,2014-10-10,828,36,10.42
s665,Movie,Hacksaw,2020-02-15,70,,1.666
s469,TV Show,Disney Junior Music Lullabies,2019-07-15,37,37,0.689
s1238,Movie,That Darn Cat,1997-02-14,89,,7.376
s1065,Movie,Mary Poppins,1964-08-27,139,,45.962
s1337,Movie,The Shaggy Dog,2006-03-09,98,,13.979
s1233,Movie,Tarzan & Jane,2002-06-24,75,,25.471
s3,Movie,Ice Age: A Mammoth Christmas,2011-11-24,26,,22.367
s351,Movie,The Nutcracker and the Four Realms,2018-10-26,99,,30.71
s1226,Movie,Sultan and the Rock Star,1980-04-20,47,,1.616
s576,Movie,Dragon Around,1954-07-16,7,,3.714
s1267,Movie,The Christmas Star,1986-12-14,94,,4.365
s1053,Movie,Marvel Studios' Thor: The Dark World,2013-10-30,112,,463.207
s898,Movie,Forky Asks a Question: What is Money?,2019-11-12,3,,4.088
s796,Movie,Clock Cleaners,1937-10-15,9,,6.162
s1156,Movie,Recess: All Growed Down,2003-12-09,61,,7.617
s217,TV Show,Wicked Tuna,2012-04-01,,167,14.059
s1368,Movie,Tiger Cruise,2005-03-06,88,,4.15
s1136,Movie,Pixel Perfect,2004-11-13,85,,5.209
s1057,TV Show,Marvel's Avengers Assemble,2013-05-26,2818,133,61.624
s1202,Movie,Snowglobe,2007-12-15,120,,5.642
s1071,TV Show,Mickey Mouse (Shorts),2013-06-28,294,98,29.171
s460,Movie,Surviving the Mount St. Helens Disaster,2020-06-10,45,,1.18
s478,Movie,X-Men: Days of Future Past,2014-05-15,132,,71.476
s1349,Movie,The Three Musketeers,2011-08-31,110,,24.162
s509,Movie,America's Greatest Animals,2012-05-27,96,,1.726
s863,Movie,Don't Look Under the Bed,1999-10-09,93,,7.68
s883,Movie,Expedition Mars: Spirit & Opportunity,2016-01-01,88,,1.83
s1302,Movie,The Living Desert,1953-11-10,69,,4.184
s1264,Movie,The Cheetah Girls,2003-08-15,93,,12.677
s1313,TV Show,The New Adventures of Winnie the Pooh,1988-09-10,,101,26.221
s1223,Movie,Stitch! The Movie,2003-08-26,60,,17.431
s1316,Movie,The Parent Trap,1998-07-28,128,,137.212
s246,TV Show,Earth Moods,2021-04-16,155,5,2.037
s894,Movie,Flowers and Trees,1932-07-30,8,,6.058
s1396,Movie,Twitches Too,2007-10-12,83,,24.907
s479,Movie,The Undefeated Presents: Hamilton In-Depth,2020-07-03,33,,1.695
s1409,Movie,Winnie the Pooh,2011-04-06,63,,21.503
s581,Movie,In the Footsteps of Elephant,2020-03-24,88,,6.618
s359,TV Show,Marvel's 616,2020-11-20,,8,9.54
s943,Movie,High School Musical 3: Senior Year,2008-10-11,117,,35.513
s169,Movie,We Bought a Zoo,2011-12-08,124,,16.694
s1213,Movie,Star Wars: Attack of the Clones (Episode II),2002-05-15,142,,55.316
s467,Movie,A Pre-Opening Report from Disneyland,1955-07-13,55,,0.906
s712,Movie,12 Dates of Christmas,2011-12-11,89,,7.741
s776,Movie,Canine Caddy,1941-05-30,7,,2.763
s551,Movie,Water Birds,1952-06-26,30,,2.062
s350,Movie,The Disney Holiday Singalong,2020-11-30,45,,1.552
s165,Movie,Secrets of the Bull Shark,2020-08-10,44,,1.208
s434,TV Show,Nature Boom Time,2016-12-15,,12,0.6
s700,Movie,Coco,2017-10-27,105,,211.107
s596,Movie,Prom,2011-04-29,104,,13.076
s155,Movie,Shark vs. Whale,2020-07-28,44,,1.88
s919,Movie,"Good Luck Charlie, It's Christmas!",2011-12-02,85,,11.479
s119,TV Show,Alaska Animal Rescue,2020-04-11,630,14,1.348
s777,Movie,Cars,2006-06-08,117,,74.741
s124,Movie,Marvel One-Shot: All Hail the King,2014-02-04,14,,23.338
s98,TV Show,Spidey And His Amazing Friends,2021-08-06,,61,46.079
s1135,TV Show,Pixar In Real Life,2019-11-12,42,11,3.012
s606,Movie,Stargirl,2020-03-10,107,,19.443
s34,Movie,Tangled Ever After,2012-01-13,6,,36.906
s11,Movie,Adventure Thru the Walt Disney Archives,2020-06-27,60,,1.77
s1089,Movie,Moana,2016-11-23,107,,34.402
s1010,TV Show,LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers,2014-05-12,,1,0.6
s423,Movie,Back to the Titanic,2020-02-23,45,,7.41
s843,TV Show,Disney's Doug,1991-08-18,3798,166,15.195
s741,Movie,Bao,2018-06-15,8,,11.095
s362,Movie,The Real Right Stuff,2020-11-20,90,,3.57
s1185,Movie,Secrets of Christ's Tomb: Explorer Special,2017-12-03,46,,1.18
s1378,Movie,Toy Story,1995-10-30,81,,231.171
s1017,Movie,Life is Ruff,2005-01-13,84,,4.58
s461,TV Show,What Sam Sees,2018-02-07,,10,0.6
s225,TV Show,Special Agent Oso,2009-04-04,,117,11.188
s736,Movie,Avatar,2009-12-10,162,,331.454
s719,Movie,Aladdin (1992),1992-11-25,90,,73.16
s1104,Movie,Newsies,1992-04-10,121,,14.85
s347,Movie,Man vs. Shark,2019-07-19,44,,1.612
s544,TV Show,Love & Vets,2017-03-11,126,3,0.6
s231,Movie,"Maggie Simpson in ""The Force Awakens from its Nap""",2021-05-04,3,,49.472
s1258,Movie,The Black Hole,1979-12-18,98,,10.167
s340,Movie,Disney Holiday Magic Quest,2020-12-04,0,,1.326
s1356,Movie,The Wild,2006-03-06,95,,54.706
s1103,Movie,National Treasure: Book of Secrets,2007-12-13,124,,30.544
s389,Movie,Lost on Everest,2020-05-15,60,,5.464
s1320,Movie,The Poof Point,2001-09-14,79,,5.195
s1162,Movie,Return from Witch Mountain,1978-03-10,95,,9.455
s1168,Movie,Rip Girls,2000-04-22,87,,5.073
s962,Movie,Inside Out,2015-06-09,95,,105.961
s459,TV Show,Muppets Now,2020-07-31,132,6,6.488
s1210,TV Show,Star Wars Rebels,2014-10-13,1663,75,66.232
s333,TV Show,Disney Parks Sunrise Series,2020-12-18,180,3,0.621
s387,Movie,Beverly Hills Chihuahua,2008-10-03,91,,69.929
s253,TV Show,Future-Worm!,2016-01-08,455,65,3.14
s558,TV Show,Brain Games,2011-10-09,4140,69,7.641
s1308,Movie,The Mistle-Tones,2012-12-09,90,,4.458
s379,Movie,The Sorcerer's Apprentice,2010-07-13,109,,40.108
s947,Movie,"Honey, I Blew Up the Kid",1992-07-16,89,,13.315
s679,Movie,High School Musical: The Musical: The Series: The Special,2019-12-16,23,,5.502
s1206,TV Show,Spider-Man and His Amazing Friends,1981-09-12,,24,39.383
s591,Movie,The New Neighbor,1953-08-01,7,,2.664
s664,TV Show,First Class Chefs: Family Style,2016-09-26,120,10,0.6
s851,TV Show,Disney's The Emperor's New School,2006-01-27,2070,90,15.661
s297,Movie,Cheaper by the Dozen 2,2005-12-21,94,,21.202
s934,Movie,Hatching Pete,2009-04-24,90,,9.357
s826,Movie,Disney Girl vs. Monster,2012-10-12,89,,19.311
s1207,TV Show,Spider-Man Unlimited,1999-10-02,,13,34.459
s481,Movie,Diary of a Wimpy Kid: Rodrick Rules,2011-03-25,99,,28.412
s477,Movie,Solo: A Star Wars Story,2018-05-15,135,,49.096
s1296,Movie,The Lion King 1 1/2,2004-02-06,77,,71.844
s1126,TV Show,Phineas and Ferb,2007-08-17,2934,227,52.677
s1257,Movie,The Black Cauldron,1985-07-24,80,,19.105
s1268,Movie,The Chronicles of Narnia: Prince Caspian,2008-05-15,150,,78.114
s779,Movie,Cars 3,2017-06-15,102,,143.65
s176,Movie,Rogue Shark?,2021-07-05,0,,3.397
s630,Movie,Big Business,1988-06-10,97,,13.474
s823,TV Show,Disney Evermoor,2014-10-10,828,36,10.42
s743,Movie,Bearly Asleep,1955-08-19,7,,3.025
s685,Movie,One Day at Disney (Shorts),2019-12-03,59,,2.756
s848,TV Show,Disney's Little Einsteins,2005-10-09,,77,23.855
s1415,TV Show,Wolverine and The X-Men,2009-01-23,667,29,10.828
s1304,Movie,The Lost Tomb of Alexander the Great,2019-03-04,44,,2.362
s364,Movie,LEGO Star Wars Holiday Special,2020-11-17,44,,34.103
s637,TV Show,Disney Randy Cunningham: 9th Grade Ninja,2012-08-13,1100,100,7.73
s251,Movie,White Fang 2: Myth of the White Wolf,1994-04-15,106,,11.325
s81,Movie,Alvin and the Chipmunks,2007-12-13,92,,51.774
s1018,Movie,Life With Mikey,1993-06-04,91,,9.226
s1358,Movie,The Wizards Return: Alex vs. Alex,2013-03-15,60,,12.347
s920,TV Show,Goof Troop,1992-09-05,1817,79,21.126
s259,Movie,Ewoks: The Battle for Endor,1985-11-24,100,,16.292
s306,Movie,Expedition Everest,2020-06-30,45,,2.483
s1035,Movie,Marvel Rising: Secret Warriors,2018-09-30,80,,14.571
s874,Movie,Easter Island Unsolved,2018-01-01,44,,1.676
s1347,Movie,The Thirteenth Year,1999-05-15,95,,10.245
s553,Movie,Born Wild: The Next Generation,2020-04-22,60,,2.332
s1273,Movie,The Emperor's New Groove,2000-12-15,78,,99.117
s430,Movie,India's Wild Leopards,2020-02-26,44,,1.288
s302,Movie,Marvel's Behind the Mask,2021-02-12,64,,11.237
s104,Movie,Jade Eyed Leopard,2020-09-07,45,,2.015
s936,Movie,Heavyweights,1995-02-17,100,,10.505
s815,Movie,Disney Adventures in Babysitting,2016-06-24,95,,26.214
s1095,Movie,Mr. Duck Steps Out,1940-06-07,8,,5.069
s813,Movie,Diary Of A Wimpy Kid,2021-12-03,58,,225.621
s959,Movie,Ice Age: The Great Egg-Scapade,2016-03-19,25,,27.587
s1436,Movie,The Cat from Outer Space,1978-06-09,104,,7.263
s330,Movie,Soul,2020-12-25,101,,198.186
s1138,Movie,Pluto and the Gopher,1950-02-10,7,,2.546
s490,Movie,Man in Space,1955-03-09,49,,1.989
s126,TV Show,Dr. K's Exotic Animal ER,2014-10-14,3696,84,1.888
s397,Movie,X2,2003-04-27,133,,2.413
s1314,Movie,The Old Mill,1937-11-05,9,,7.641
s1019,Movie,Life-Size 2,2018-12-02,81,,11.3
s159,TV Show,Behind the Attraction,2021-07-21,400,10,3.411
s1405,Movie,White Fang,1991-01-18,107,,14.877
s1082,Movie,Mike's New Car,2002-05-24,4,,9.64
s146,TV Show,Chip 'n' Dale: Park Life,2021-07-28,252,36,14.009
s94,Movie,A Spark Story,2021-09-24,87,,3.55
s1280,Movie,The Goddess of Spring,1934-11-03,9,,3.608
s73,Movie,Under Wraps,2021-10-01,91,,48.964
s508,TV Show,Alaska's Grizzly Gauntlet,2018-04-27,225,5,0.614
s1240,Movie,The Absent-Minded Professor,1961-03-16,96,,7.497
s355,TV Show,Once Upon a Time in Wonderland,2013-10-10,585,13,13.646
s80,TV Show,The Ghost and Molly McGee,2021-10-01,440,40,26.516
s51,Movie,X-Men: First Class,2011-06-01,132,,3.574
s138,Movie,Beverly Hills Chihuahua 2,2011-02-01,84,,21.083
s1414,Movie,Wizards of Waverly Place: The Movie,2009-08-28,94,,29.77
s378,TV Show,The Mandalorian,2019-11-12,650,16,183.083
s1002,TV Show,LEGO Star Wars: All Stars,2018-11-10,146,17,4.853
s254,TV Show,Kick Buttowski: Suburban Daredevil,2010-02-13,1144,52,147.897
s374,Movie,Mr. Magoo,1997-12-25,84,,10.506
s76,TV Show,Drain the Oceans,2018-05-28,2867,61,5.135
s177,Movie,Shark Beach with Chris Hemsworth,2021-07-05,44,,27.495
s56,Movie,"McFarland, USA",2015-02-20,128,,11.405
s750,TV Show,Big City Greens (Shorts),2018-06-18,,134,21.196
s900,Movie,Frankenweenie (Short),2012-10-04,87,,42.719
s1408,Movie,Winged Seduction: Birds of Paradise,2012-11-22,45,,1.474
s410,TV Show,Kingdom of the Mummies,2020-05-12,,4,1.775
s964,Movie,Inspector Gadget 2,2003-03-11,89,,9.018
s872,Movie,Early to Bed,1941-07-10,8,,3.064
s735,Movie,Auntie Edna,2018-10-23,5,,8.881
s1401,Movie,Waking Sleeping Beauty,2009-09-05,86,,8.277
s603,TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),2018-11-26,60,15,2.514
s658,Movie,Drain Alcatraz,2017-12-19,45,,1.492
s482,Movie,Hamilton,2020-07-03,160,,15.09
s523,Movie,Fantastic Mr. Fox,2009-10-23,87,,25.952
s296,Movie,Cheaper By the Dozen,2022-03-18,107,,151.379
s1199,Movie,Smash and Grab,2019-01-18,7,,5.862
s717,Movie,A Knight for a Day,1946-03-08,7,,2.71
s392,TV Show,The Rocketeer,2019-11-08,1032,43,6.671
s1443,Movie,Tomorrowland,2015-05-19,130,,40.421
s1092,Movie,"Monsters, Inc.",2001-11-01,92,,199.952
s1159,Movie,Red's Dream,1987-08-17,4,,8.874
s1407,TV Show,Wild Yellowstone,2015-12-06,90,2,1.697
s407,TV Show,Coop & Cami Ask The World,2018-10-12,1470,49,9.388
s187,Movie,The Sandlot 2,2005-05-03,97,,11.23
s1392,Movie,Tuck Everlasting,2002-10-11,90,,12.163
s1446,Movie,X-Men Origins: Wolverine,2009-04-28,107,,13.856
s1275,Movie,The Flood,2019-06-17,97,,10.101
s1109,Movie,Old Yeller,1957-12-25,83,,16.725
s671,Movie,Super Rhino,2009-03-21,5,,9.045
s149,TV Show,Mickey Mouse Funhouse,2021-08-20,,37,11.561
s1236,Movie,Teen Beach Movie,2013-08-07,96,,22.467
s1286,Movie,The Hockey Champ,1939-04-28,7,,5.082
s391,TV Show,Meet The Chimps,2020-10-16,240,6,2.673
s398,Movie,Mr. Holland's Opus,1995-12-29,137,,10.517
s731,Movie,Apollo: Missions To The Moon,2019-07-07,94,,3.968
s1151,Movie,Queen of Katwe,2016-09-23,124,,13.044
s1183,Movie,Secret of The Wings,2012-08-17,92,,64.332
s773,Movie,Camp Rock 2: The Final Jam,2010-09-17,104,,27.434
s893,Movie,Float,2019-11-12,7,,5.787
s284,Movie,Garfield: A Tail of Two Kitties,2006-06-15,82,,29.804
s657,Movie,Cool Runnings,1993-10-01,98,,14.543
s1055,TV Show,Marvel's Agent Carter,2015-01-06,774,18,48.189
s492,Movie,Marvel Studios' Avengers: Infinity War,2018-04-25,149,,518.874
s868,TV Show,"Dr. T, Lone Star Vet",2019-10-13,360,8,0.91
s494,Movie,Tarzan II,2005-06-13,72,,25.199
s1262,Movie,The Brave Little Toaster Goes to Mars,1998-05-19,73,,6.59
s356,TV Show,Party Animals,2007-01-31,400,8,1.818
s808,Movie,"Davy Crockett, King of the Wild Frontier",1955-05-25,93,,8.132
s199,Movie,The Happiest Millionaire,1967-11-30,172,,5.2
s602,TV Show,Disney Insider,2020-03-20,273,14,5.733
s797,Movie,Cloud 9,2014-01-17,90,,16.998
s1048,Movie,Marvel Studios' Iron Man,2008-04-30,126,,121.195
