AD,Andorrane
AE,Émirienne
AF,Afghane
AG,Antiguaise-et-Barbudaise
AI,Anguillaise
AL,Albanaise
AM,Arménienne
AO,Angolaise
AQ,Antarctique
AR,Argentine
AS,Samoa-Américaine
AT,Autrichienne
AU,Australienne
AW,Arubaise
AX,Ålandaise
AZ,Azerbaïdjanaise
BA,Bosnienne
BB,Barbadienne
BD,Bangladaise
BE,Belge
BF,Burkinabé
BG,Bulgare
BH,Bahreïnienne
BI,Burundaise
BJ,Béninoise
FR,Française
BM,Bermudienne
BN,Brunéienne
BO,Bolivienne
NL,Néerlandaise
BR,Brésilienne
BS,Bahaméenne
BT,Bhoutanaise
NO,Norvégienne
BW,Botswanaise
BY,Biélorusse
BZ,Bélizienne
CA,Canadienne
CD,Congolaise
CF,Centrafricaine
CG,Congolaise
CH,Suisse
CI,Ivoirienne
NZ,Néo-Zélandaise
CL,Chilienne
CM,Camerounaise
CN,Chinoise
CO,Colombienne
CR,Costaricienne
CU,Cubaine
CV,Cap-verdienne
CY,Chypriote
CZ,Tchèque
DE,Allemande
DJ,Djiboutienne
DK,Danoise
DM,Dominiquaise
DO,Dominicaine
DZ,Algérienne
EC,Équatorienne
EE,Estonienne
EG,Égyptienne
EH,
ER,Érythréenne
ES,Espagnole
ET,Éthiopienne
FI,Finlandaise
FJ,Fidjienne
GB,Britannique
FM,Micronésienne
FO,Danoise
GA,Gabonaise
GD,Grenadine
GE,Georgienne
GH,Ghanéenne
GL,Groenlandaise
GM,Gambienne
GN,Guinéenne
GQ,Équato-guinéenne
GR,Grèque
GT,Guatémaltèque
US,Américaine
GW,Bissau-guinéenne
GY,Guyanaise
HK,Hongkongaise
HN,Hondurienne
HR,Croate
HT,Haïtienne
HU,Hongroise
ID,Indonésienne
IE,Irlandaise
IL,Israélienne
IN,Indienne
IQ,Irakienne
IR,Iranienne
IS,Islandaise
IT,Italienne
JM,Jamaïcaine
JO,Jordanienne
JP,Japonaise
KE,Kényane
KG,Kirghize
KH,Cambodgienne
KI,Kiribatienne
KM,Comorienne
KN,Christophienne
KP,Nord-Coréenne
KR,Sud-Coréenne
KW,Koweïtienne
KZ,Kazakhstanaise
LA,Laotienne
LB,Libanaise
LC,Saint-Lucienne
LI,Liechtensteinoise
LK,Sri-Lankaise
LR,Libérienne
LS,Léthoise
LT,Lituanie
LU,Luxembourgeoise
LV,Lettonne
LY,Libyenne
MA,Marocaine
MC,Monégasque
MD,Moldave
ME,Monténégrine
MG,Malgache
MH,Marshallaise
MK,Macédonienne
ML,Malienne
MM,Birmane
MN,Mongole
MO,Macanaise
MR,Mauricienne
MT,Maltaise
MU,Mauricienne
MV,Maldivienne
MW,Malawite
MX,Mexicaine
MY,Malaisienne
MZ,Mozambicaine
NA,Namibienne
NE,Nigérienne
NG,Nigériane
NI,Nicaraguayenne
NP,Népalaise
NR,Nauruane
NU,Niouéenne
OM,Omanaise
PA,Panaméenne
PE,Péruvienne
PG,Papouasienne
PH,Philippine
PK,Pakistanaise
PL,Polonnaise
PR,Portoricaine
PS,Palestinienne
PT,Portugaise
PW,Palaosienne
PY,Paraguayenne
QA,Quatarienne
RO,Roumaine
RS,Serbe
RU,Russe
RW,Rwandaise
SA,Saoudienne
SB,Salomonienne
SC,Seychelloise
SD,Soudanaise
SE,Suédoise
SG,Singapourienne
SI,Slovène
SK,Slovaque
SL,Sierra-Léonaise
SM,Saint-Marinaise
SN,Sénégalaise
SO,Somalienne
SR,Surinamienne
SS,Sud-Soudanaise
ST,Santoméenne
SV,Salvadorienne
SY,Syrienne
SZ,Swazi
TD,Tchadienne
TG,Togolaise
TH,Thaïlandaise
TJ,Tadjike
TK,Tokelauane
TL,Timoréenne
TM,Turkmène
TN,Tunisienne
TO,Tongane
TR,Turque
TT,Trinidadiennes
TV,Tuvaluane
TW,Taïwanaise
TZ,Tanzanienne
UA,Ukrainienne
UG,Ougandaise
UY,Uruguayenne
UZ,Ouzbèke
VA,Vaticanienne
VC,Saint-Vincentaise et Grenadine
VE,Vénézuélienne
VN,Vietnamienne
VU,Vanuatuane
WF,Wallisienne et Futuniène
WS,Samoane
YE,Yéménite
ZA,Sud-Africaine
ZM,Zambienne
ZW,Zimbabwéenne